Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
maximizeWindow(),Edge Chromium 122,,,04-03-2024 11:35:47,04-03-2024 11:35:47,0.155s,PASSED
takeScreenshot(),Edge Chromium 122,,,04-03-2024 11:35:47,04-03-2024 11:35:47,0.418s,PASSED
"if (Penghasilan != """")",Edge Chromium 122,Input Nilai Pemasukan,,04-03-2024 11:35:47,04-03-2024 11:35:48,0.955s,PASSED
takeScreenshot(),Edge Chromium 122,,,04-03-2024 11:35:48,04-03-2024 11:35:49,0.507s,PASSED
"if (Pengeluaran != """")",Edge Chromium 122,Input Nilai Pengeluaran,,04-03-2024 11:35:49,04-03-2024 11:35:49,0.744s,PASSED
takeScreenshot(),Edge Chromium 122,,,04-03-2024 11:35:49,04-03-2024 11:35:50,0.612s,PASSED
"if (Jangka_Waktu != """")",Edge Chromium 122,Pilih Jangka Waktu,,04-03-2024 11:35:50,04-03-2024 11:35:52,2.454s,PASSED
"scrollToElement(findTestObject(""OR_Perhitungan_Properti _BTN/Title_page""), 2)",Edge Chromium 122,"Verifikasi Pesan error Input Pengeluaran ""Isi kurang dari nilai sebelumnya"" & Disable tombol hitung, melanjutkan proses hitung harga",,04-03-2024 11:35:52,04-03-2024 11:35:53,0.322s,PASSED
"verifyTextPresent(""Isi kurang dari nilai sebelumnya"", false)",Edge Chromium 122,,,04-03-2024 11:35:53,04-03-2024 11:35:54,1.414s,PASSED
"verifyElementHasAttribute(findTestObject(""OR_Perhitungan_Properti _BTN/button_Hitung""), ""disabled"", 5)",Edge Chromium 122,,,04-03-2024 11:35:54,04-03-2024 11:35:54,0.315s,PASSED
takeScreenshot(),Edge Chromium 122,,,04-03-2024 11:35:54,04-03-2024 11:35:55,0.377s,PASSED
closeBrowser(),Edge Chromium 122,,,04-03-2024 11:35:55,04-03-2024 11:35:55,0.315s,PASSED
